date,death,tempf,dow,season,pop,pm10
1/7/00,21,39,Friday,Winter,648654,3.7532687
1/13/00,12,44,Thursday,Winter,648654,6.2454305
1/19/00,32,26,Wednesday,Winter,648654,1.6636369
1/25/00,20,28,Tuesday,Winter,648654,4.1535707
1/31/00,21,30,Monday,Winter,648654,5.5298629
2/6/00,28,31,Sunday,Winter,648654,10.374264
2/12/00,19,29,Saturday,Winter,648654,10.916573
2/18/00,18,32,Friday,Winter,648654,13.072104
2/24/00,23,52,Thursday,Winter,648654,14.982557
3/1/00,12,46,Wednesday,Winter,648654,14.575608
3/7/00,14,50,Tuesday,Winter,648654,18.44989
3/13/00,16,38,Monday,Winter,648654,12.033993
3/19/00,16,39,Sunday,Winter,648654,13.411572
3/25/00,22,58,Saturday,Winter,648654,1.8651601
3/31/00,21,45,Friday,Winter,648654,5.5778718
4/6/00,18,61,Thursday,Spring,648654,14.170433
4/12/00,16,45,Wednesday,Spring,648654,3.8378434
4/18/00,16,46,Tuesday,Spring,648654,12.356591
4/24/00,14,55,Monday,Spring,648654,9.23032
4/30/00,18,57,Sunday,Spring,648654,0.94708097
5/6/00,19,76,Saturday,Spring,648654,17.945387
5/12/00,16,73,Friday,Spring,648654,23.790863
5/18/00,15,73,Thursday,Spring,648654,20.845411
5/24/00,14,72,Wednesday,Spring,648654,1.3998116
5/30/00,10,57,Tuesday,Spring,648654,12.244445
6/5/00,13,64,Monday,Spring,648654,11.700565
6/11/00,20,83,Sunday,Spring,648654,22.15
6/17/00,14,81,Saturday,Spring,648654,3.8644068
6/23/00,14,75,Friday,Spring,648654,1.189548
6/29/00,18,73,Thursday,Spring,648654,1.7158192
7/5/00,15,75,Wednesday,Summer,648654,0.79626274
7/11/00,17,73,Tuesday,Summer,648654,3.9237287
7/17/00,17,72,Monday,Summer,648654,2.9786253
7/23/00,18,70,Sunday,Summer,648654,8.8445387
7/29/00,9,73,Saturday,Summer,648654,5.5112052
8/4/00,17,75,Friday,Summer,648654,6.9764123
8/10/00,25,80,Thursday,Summer,648654,9.3415251
8/16/00,21,76,Wednesday,Summer,648654,11.841525
8/22/00,15,68,Tuesday,Summer,648654,10.265884
8/28/00,19,74,Monday,Summer,648654,4.7823915
