schoolyr,DRINK,age,male,GPA
1,1,20,1,2.89
3,1,21,0,3.24
4,1,21,0,3.58
1,1,18,0,3.96
3,1,21,1,3.37
1,1,19,1,3.11
1,1,19,0,3.99
2,0,20,0,3.99
4,1,25,1,3.56
4,1,22,1,3.81
5,1,22,1,2.86
1,1,18,0,3.62
2,0,20,1,2.93
3,1,22,0,2.08
1,0,17,0,2.44
3,1,22,0,1.79
1,1,19,1,3.85
2,1,20,0,3.01
3,1,25,1,3.75
1,1,19,1,2.76
2,1,20,0,2.62
3,1,25,1,3.9
2,1,20,0,2.81
1,0,19,0,3.36
3,0,22,0,3.73
1,1,19,0,3.11
5,0,24,0,3.3
2,1,25,1,3.71
3,1,21,0,2.77
2,0,20,0,3.33
2,0,19,1,3.81
1,0,19,0,3.24
3,0,21,0,3.21
1,0,18,0,3.42
1,1,19,0,3.31
4,1,21,1,2.11
4,1,25,1,3.22
3,1,21,0,3.29
2,1,19,0,2.51
2,1,19,0,2.81
5,0,25,1,1.82
2,1,19,1,2.84
5,1,25,0,3.96
2,0,20,0,3.27
1,1,18,1,1.95
1,1,18,0,2.96
1,1,19,0,1.8
4,0,21,0,3.92
4,1,21,1,3.55
2,1,20,1,2.95
4,0,23,1,2.22
1,1,18,0,3.93
4,1,22,0,3.58
2,0,20,1,2.33
2,1,19,0,2.43
1,1,19,1,3.33
4,0,22,0,3.84
3,1,20,0,3.88
3,1,20,1,3.85
3,0,20,1,3.51
3,1,25,1,3.59
2,1,20,0,2.76
4,0,25,1,3.81
2,0,20,1,3.82
4,1,22,0,3.84
1,0,18,0,3.13
3,1,20,0,2.78
4,0,21,0,3.8
5,0,23,1,1.89
3,1,21,0,3.4
4,1,22,1,3.47
4,1,22,0,3.94
4,1,22,1,3.56
4,1,21,0,2.53
4,0,20,0,2.17
2,1,20,0,3.32
5,1,24,1,2.15
1,0,18,1,3.82
3,1,20,1,3.84
3,0,25,0,3.52
2,1,19,1,1.99
3,0,25,1,3.51
3,1,20,0,3.81
4,1,21,0,3.28
3,1,20,0,2.88
1,0,18,0,3.09
4,1,21,1,3.84
2,1,19,0,3.32
2,1,19,0,2.81
1,1,19,0,2.12
1,1,18,0,2.8
1,1,18,1,3.87
1,1,19,1,2.68
5,1,18,0,2.84
4,0,21,0,3.08
3,0,21,0,3.32
2,0,18,0,3.45
4,1,21,0,2.69
